cn,ID
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Enterococcaceae..g__Vagococcus..s__,V159
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Lactobacillaceae..g__Lactobacillus,V160
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Lactobacillaceae..g__Lactobacillus..s__,V161
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Lactobacillaceae..g__Lactobacillus..s__iners,V162
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Lactobacillaceae..g__Lactobacillus..s__reuteri,V163
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Leuconostocaceae..g__..s__,V164
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Leuconostocaceae..g__Weissella,V165
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Streptococcaceae,V166
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Streptococcaceae..g__Lactococcus..s__,V167
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Streptococcaceae..g__Streptococcus..s__,V168
k__Bacteria..p__Firmicutes..c__Bacilli..o__Lactobacillales..f__Streptococcaceae..g__Streptococcus..s__anginosus,V169
k__Bacteria..p__Firmicutes..c__Clostridia..o__..f__..g__..s__,V170
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__..g__..s__,V171
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__.Mogibacteriaceae...g__..s__,V172
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__.Mogibacteriaceae...g__Mogibacterium..s__,V173
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__.Tissierellaceae...g__1.68..s__,V174
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__.Tissierellaceae...g__Anaerococcus..s__,V175
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__.Tissierellaceae...g__Finegoldia..s__,V176
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__.Tissierellaceae...g__Gallicola..s__,V177
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__.Tissierellaceae...g__GW.34..s__,V178
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__.Tissierellaceae...g__Parvimonas..s__,V179
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__.Tissierellaceae...g__Peptoniphilus..s__,V180
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__.Tissierellaceae...g__ph2..s__,V181
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__.Tissierellaceae...g__WAL_1855D..s__,V182
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Clostridiaceae,V183
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Clostridiaceae..g__Clostridium..s__,V184
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Lachnospiraceae,V185
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Lachnospiraceae..g__..s__,V186
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Lachnospiraceae..g__.Ruminococcus...s__,V187
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Lachnospiraceae..g__.Ruminococcus...s__gnavus,V188
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Lachnospiraceae..g__Blautia,V189
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Lachnospiraceae..g__Blautia..s__,V190
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Lachnospiraceae..g__Blautia..s__producta,V191
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Lachnospiraceae..g__Catonella..s__,V192
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Lachnospiraceae..g__Moryella..s__,V193
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Lachnospiraceae..g__Oribacterium..s__,V194
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Lachnospiraceae..g__Shuttleworthia..s__,V195
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Peptococcaceae..g__Peptococcus..s__,V196
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Peptostreptococcaceae..g__..s__,V197
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Peptostreptococcaceae..g__Filifactor..s__,V198
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Peptostreptococcaceae..g__Peptostreptococcus..s__,V199
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Peptostreptococcaceae..g__Peptostreptococcus..s__anaerobius,V200
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Ruminococcaceae..g__..s__,V201
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Ruminococcaceae..g__Faecalibacterium..s__prausnitzii,V202
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Ruminococcaceae..g__Ruminococcus..s__,V203
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Veillonellaceae,V204
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Veillonellaceae..g__Dialister..s__,V205
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Veillonellaceae..g__Megasphaera..s__,V206
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Veillonellaceae..g__Selenomonas..s__,V207
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Veillonellaceae..g__Selenomonas..s__noxia,V208
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Veillonellaceae..g__Veillonella,V209
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Veillonellaceae..g__Veillonella..s__,V210
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Veillonellaceae..g__Veillonella..s__dispar,V211
k__Bacteria..p__Firmicutes..c__Clostridia..o__Clostridiales..f__Veillonellaceae..g__Veillonella..s__parvula,V212
k__Bacteria..p__Firmicutes..c__Erysipelotrichi..o__Erysipelotrichales..f__Erysipelotrichaceae..g__Bulleidia..s__,V213
k__Bacteria..p__Firmicutes..c__Erysipelotrichi..o__Erysipelotrichales..f__Erysipelotrichaceae..g__Bulleidia..s__moorei,V214
k__Bacteria..p__Fusobacteria..c__Fusobacteriia..o__Fusobacteriales..f__Fusobacteriaceae..g__Fusobacterium..s__,V215
k__Bacteria..p__Fusobacteria..c__Fusobacteriia..o__Fusobacteriales..f__Leptotrichiaceae..g__..s__,V216
k__Bacteria..p__Fusobacteria..c__Fusobacteriia..o__Fusobacteriales..f__Leptotrichiaceae..g__Leptotrichia..s__,V217
k__Bacteria..p__Fusobacteria..c__Fusobacteriia..o__Fusobacteriales..f__Leptotrichiaceae..g__Sneathia..s__,V218
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Caulobacterales..f__Caulobacteraceae,V219
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Caulobacterales..f__Caulobacteraceae..g__..s__,V220
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Caulobacterales..f__Caulobacteraceae..g__Brevundimonas..s__diminuta,V221
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Caulobacterales..f__Caulobacteraceae..g__Phenylobacterium..s__,V222
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__..g__..s__,V223
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Aurantimonadaceae..g__..s__,V224
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Bartonellaceae..g__..s__,V225
k__Bacteria..p__Proteobacteria..c__Alphaproteobacteria..o__Rhizobiales..f__Bradyrhizobiaceae,V226
